ORF	5m	15m	30m	4h
CAGL0E03674g	0.175286525	1.45544044	0.629922631	-5.275590462
CAGL0E03762g	0.054436582	1.325414356	1.884835594	-1.809308389
CAGL0E03784g	0.374614869	0.539978642	1.082063877	-1.044352084
CAGL0E03894g	0.22888278	1.766555999	1.8684969	-2.569935476
CAGL0E03916g	-0.084481622	0.463081122	1.092653424	-2.501700684
CAGL0E04004g	0.002044621	3.365064432	3.475012522	-2.302582914
CAGL0E04158g	-0.102703609	-0.481019387	-1.586493042	2.135801466
CAGL0E04224g	-0.408064103	-1.837650348	-2.019159927	3.488854418
CAGL0E04334g	-0.186420613	-0.489976364	-4.077222205	4.302449155
CAGL0E04356g	0.126134309	1.410216532	3.120165161	-4.356144661
CAGL0E04422g	-0.041126971	0.583868355	1.378527289	-1.347414247
CAGL0E04510g	-0.294101974	0.222561686	1.145088705	-3.369507739
CAGL0E04598g	0.390664712	0.508755638	1.056430763	-1.327639498
CAGL0E04642g	-0.082563559	0.41957097	1.00186191	-1.856958874
CAGL0E04708g	0.026326565	0.575275597	1.02032825	-3.056124757
CAGL0E04884g	0.002903265	0.673059415	2.688952628	-3.301936679
CAGL0E04906g	0.016713771	1.757856371	2.211731036	-1.054438031
CAGL0E05082g	-0.103791275	0.260446628	1.195489231	-2.04463363
CAGL0E05148g	-0.132934111	0.231330857	2.185960463	-2.420318876
CAGL0E05170g	0.127248697	1.217878884	1.7293547	-1.602327257
CAGL0E05434g	0.028793973	-0.465521219	-1.731054302	1.804941145
CAGL0E05500g	0.134115558	-0.168298667	-2.847204055	2.149343928
CAGL0E05522g	-0.468990941	-0.666627218	-2.68313051	4.349562376
CAGL0E05588g	-0.548328562	0.348904975	1.655000773	-3.461472055
CAGL0E05610g	0.150012525	0.856000721	2.563248649	-1.48728745
CAGL0E05632g	1.602366173	0.878563389	0.312355861	-2.390105958
CAGL0E05654g	0.089902682	2.413907449	1.434078068	-2.43999672
CAGL0E05720g	-0.418983692	-1.726062257	-1.429207359	2.35673145
CAGL0E05742g	-0.262740067	-0.416495471	-1.135156826	1.036357145
CAGL0E05764g	-0.109564414	-0.593554462	-2.903711542	1.686597364
CAGL0E05918g	0.14283026	0.48295542	1.702879965	-2.64225364
CAGL0E05962g	0.434617453	0.661603981	2.87733681	-1.76042981
CAGL0E06006g	0.360013481	3.256935261	5.127663882	-2.397031716
CAGL0E06072g	0.042422034	0.578458977	2.248736289	-2.487010758
CAGL0E06094g	0.264790972	1.556703314	0.316200646	-2.331324544
CAGL0E06226g	0.187612243	0.403818772	1.273155325	-1.155444923
CAGL0E06248g	0.427531033	0.68781099	1.499462847	-2.09805829
CAGL0E06380g	-0.224050558	1.701078669	3.395810339	-1.898172251
CAGL0E06424g	0.068795124	1.616679848	2.723009698	-3.994919055
CAGL0E06512g	0.141086068	0.578343629	1.600734727	-2.419940278
CAGL0E06688g	0.606028438	1.749209637	2.666855768	-4.65325264
CAGL0F00341g	-0.253621025	-0.837140291	-1.578279332	2.446283034
CAGL0F00561g	-0.112121966	-0.818435696	-4.417259588	3.443462514
CAGL0F00869g	-0.038079523	-0.180744565	1.462793811	-4.553157109
CAGL0F01023g	0	-1.159840522	-4.002593035	1.423562958
CAGL0F01111g	0.523793666	2.009213446	0.927933829	-3.139643127
CAGL0F01177g	-0.174096302	-0.957554245	-2.31526314	4.181745037
CAGL0F01199g	-0.027240227	0.267518144	1.340621249	-1.001288208
CAGL0F01265g	0.277001253	1.481416252	1.188303632	-1.067061791
CAGL0F01705g	-0.110940776	0.025540758	-1.862224718	5.599412793
CAGL0F01815g	0.447176772	2.069078438	2.39800744	-1.37314472
CAGL0F01947g	0.237656238	0.391016906	1.198264041	-2.495953717
CAGL0F02035g	-0.293022129	-1.026961219	-0.781440296	3.599412793
CAGL0F02101g	-0.041758532	-0.109527905	2.006432876	-3.287418348
CAGL0F02431g	0.09470049	-0.527188281	-1.017228327	1.054039037
CAGL0F02519g	0.11255149	2.057484919	1.325000442	-1.589215647
CAGL0F02607g	-0.03088465	-0.047965943	1.53144488	-3.653252639
